"3858"	"Einführung in CampusNet"	"Schriftliche Prüfung"	""	"Mi, 1. Mai 2019 08:00 09:30"
"Prüfungsnummer"	"Matrikelnummer"	"Vorname"	"Mittelname"	"Name"	"Noten"	"Abwesend (x)"
""	"3438287"	"Leon Maria"	""	"Richter"
""	"3439021"	"Paul Isabella"	""	"Weber"
""	"3440125"	"Anna"	""	"Bauer"
""	"3441240"	"Lukas David"	""	"Schmidt"
""	"3442427"	"Laura Johannes"	""	"Koch"
""	"3443326"	"Laura David"	""	"Richter"
""	"3444632"	"Leon Alexander"	""	"Weber"
""	"3445828"	"Paul Maria"	""	"Schmidt"
""	"3446118"	"Lukas"	""	"Koch"
""	"3447212"	"Max Elisabeth"	""	"Bauer"
""	"3448837"	"Ben Isabella"	""	"Fischer"
""	"3449459"	"Emma"	""	"Richter"
""	"3450595"	"Sophie David"	""	"Wagner"
""	"3451690"	"Emma Karl"	""	"Müller"
""	"3452477"	"Sophie Louise"	""	"Müller"
""	"3453184"	"Lukas Elisabeth"	""	"Becker"
""	"3454779"	"Ben Karl"	""	"Schmidt"
""	"3455670"	"Leon"	""	"Fischer"
""	"3456469"	"Ben Johannes"	""	"Fischer"
""	"3457208"	"Mia David"	""	"Schneider"
""	"3458858"	"Ben Alexander"	""	"Schmidt"
""	"3459028"	"Laura Alexander"	""	"Schmidt"
""	"3460722"	"Mia Louise"	""	"Becker"
""	"3461847"	"Laura David"	""	"Wagner"
""	"3462149"	"Ben Alexander"	""	"Müller"
""	"3463758"	"Sophie Michael"	""	"Richter"
""	"3464807"	"Leon Johannes"	""	"Weber"
""	"3571245"	"Lukas Sophia"	""	"Koch"
""	"3572356"	"Laura Elisabeth"	""	"Bauer"
""	"3573467"	"Ben Karl"	""	"Richter"
""	"3438611"	"Leon Johannes"	""	"von Wagner"
""	"3439617"	"Emma Karl"	""	"von Bauer"
""	"3440812"	"Ben Louise"	""	"Baron Weber"
""	"3441296"	"Paul David"	""	"von Fischer"
""	"3442665"	"Anna Alexander"	""	"zu Schneider"
""	"3443427"	"Paul Michael"	""	"von Richter"
""	"3444521"	"Laura Johannes"	""	"Baron Richter"
""	"3445286"	"Ben Maria"	""	"zu Müller"
""	"3447538"	"Emma Michael"	""	"Baron Becker"
""	"3448068"	"Mia Alexander"	""	"Baron Wagner"
""	"3448920"	"Paul Johannes"	""	"zu Schneider"
""	"3450608"	"Leon Michael"	""	"Baron Koch"
""	"3451735"	"Paul Alexander"	""	"Baron Weber"
""	"3452781"	"Paul Maria"	""	"von Becker"
""	"3453553"	"Leon Isabella"	""	"zu Weber"
""	"3454448"	"Sophie Maria"	""	"Baron Richter"
""	"3455125"	"Anna Johannes"	""	"zu Bauer"
""	"3456629"	"Leon Maria"	""	"zu Bauer"
""	"3457217"	"Paul Sophia"	""	"Baron Müller"
""	"3458791"	"Paul Michael"	""	"von Wagner"
""	"3459436"	"Sophie Maria"	""	"von Bauer"
""	"3460649"	"Sophie Michael"	""	"zu Weber"
""	"3461666"	"Emma"	""	"Baron Schneider"
""	"3462781"	"Max Johannes"	""	"von Becker"
""	"3463892"	"Laura Sophia"	""	"zu Wagner"
""	"3464903"	"Ben Elisabeth"	""	"Baron Müller"
""	"3465014"	"Mia Karl"	""	"von Fischer"
""	"3466125"	"Leon David"	""	"zu Richter"
""	"3467236"	"Anna Michael"	""	"Baron Weber"
""	"3468347"	"Lukas Johannes"	""	"von Bauer"
""	"3469458"	"Laura Sophia"	""	"zu Schneider"
""	"3470569"	"Ben Alexander"	""	"Baron Koch"
""	"3471670"	"Sophie Maria"	""	"von Wagner"
""	"3472781"	"Max Michael"	""	"zu Becker"
""	"3473892"	"Emma Sophia"	""	"Baron Müller"
""	"3474903"	"Paul Elisabeth"	""	"von Fischer"
""	"3476014"	"Mia Karl"	""	"zu Richter"
""	"3477125"	"Leon David"	""	"Baron Weber"
""	"3478236"	"Anna Michael"	""	"von Bauer"
""	"3479347"	"Lukas Johannes"	""	"zu Schneider"
